symbol,code,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,ticktime,per,pb,mktcap,nmc,turnoverratio
sh601868,601868,中国能建,2.400,-0.03,-1.235,2.400,2.410,2.430,2.420,2.450,2.400,317419304,771118094,15:00:01,13.333,0.97,10005879.27264,7782894.63264,0.97882
sh601872,601872,招商轮船,6.770,0.01,0.148,6.770,6.780,6.760,6.740,6.930,6.720,69532425,475780835,15:00:01,11.283,1.478,5513356.900981,5513356.900981,0.85381
sh601877,601877,正泰电器,22.580,-0.43,-1.869,22.580,22.590,23.010,22.980,23.070,22.580,13306049,303464699,15:00:00,13.052,1.163,4852371.947808,4852371.947808,0.61918
sh601878,601878,浙商证券,13.190,-0.31,-2.296,13.190,13.200,13.500,13.470,13.790,13.180,184164111,2497790270,15:00:01,28.674,2.072,5652921.635739,5652921.635739,4.29711
sh601881,601881,中国银河,15.730,-0.77,-4.667,15.730,15.740,16.500,16.710,17.140,15.700,155724178,2536444940,15:00:00,23.478,1.61,17199814.748688,11393895.920979,2.14987
sh601888,601888,中国中免,70.720,-1.37,-1.9,70.710,70.720,72.090,72.020,72.500,70.710,21290032,1523964891,15:00:00,21.793,2.698,14630971.159168,13807907.047168,1.09041
sh601898,601898,中煤能源,12.770,0.17,1.349,12.760,12.770,12.600,12.640,12.880,12.480,37042270,472893387,15:00:01,8.687,1.133,16931313.1618,11687104.5108,0.40475
sh601899,601899,紫金矿业,15.620,0.01,0.064,15.620,15.630,15.610,15.600,16.100,15.520,186356748,2954520861,15:00:00,19.525,3.132,41514662.52428,32108929.722232,0.90657
sh601901,601901,方正证券,8.730,-0.26,-2.892,8.730,8.740,8.990,8.950,9.080,8.710,104974991,936336604,15:00:00,33.577,1.528,7186624.517835,7186624.517835,1.27519
sh601916,601916,浙商银行,2.850,-0.01,-0.35,2.850,2.860,2.860,2.860,2.890,2.840,146815798,420493452,15:00:01,5.0,0.46,7827421.249455,6140164.249455,0.68146
sh601919,601919,中远海控,14.510,0.13,0.904,14.510,14.520,14.380,14.490,14.830,14.420,143862157,2105346839,15:00:00,9.804,1.041,23158946.85412,18516066.07412,1.12737
sh601939,601939,建设银行,7.920,0.0,0.0,7.920,7.930,7.920,7.910,8.000,7.860,154750853,1230319991,15:00:01,6.046,0.634,198008694.16891,7598176.823952,1.61305
sh601985,601985,中国核电,9.920,0.06,0.609,9.920,9.930,9.860,9.860,10.030,9.790,129901383,1289714930,15:00:01,17.906,1.956,18732218.588064,18732218.588064,0.68792
